query,brand,monthly_volume,trend_90d,trend_12m,intent,difficulty,cpc,country_leaders,notes
chatgpt,ChatGPT,618000000,↔,↔,Navigational,hard,0.20,"US;IN;BR;ID;GB",core
chat gpt,ChatGPT,120000000,↔,↓,Navigational,hard,0.18,"US;IN;BR;ID;PH",misspelling
chatgpt login,ChatGPT,52000000,↔,↓,Navigational,hard,0.22,"US;IN;ID;PH;BR",login
chatgpt app,ChatGPT,35000000,↑,↑,Navigational,hard,0.30,"US;IN;BR;ID;MX",app/mobile
gpt-4o,ChatGPT,8000000,↑,↑,Informational,medium,0.45,"US;IN;DE;GB;CA",model/image/voice
gpt-4.1,ChatGPT,6000000,↑,↑,Informational,medium,0.40,"US;IN;DE;GB;CA",model
chatgpt pricing,ChatGPT,4500000,↔,↔,Transactional,medium,0.80,"US;GB;CA;AU;DE",pricing
chatgpt plus,ChatGPT,7000000,↓,↓,Transactional,medium,0.75,"US;GB;CA;AU;DE",subscription
chatgpt prompts,ChatGPT,9000000,↔,↔,Informational,medium,0.35,"US;IN;PH;NG;GB",prompts
chatgpt for coding,ChatGPT,2500000,↔,↓,Informational,medium,0.65,"US;IN;DE;GB;CA",developer
chatgpt for students,ChatGPT,3000000,↔,↔,Informational,medium,0.28,"US;IN;PH;NG;GB",education
chatgpt image,ChatGPT,2200000,↑,↑,Informational,medium,0.40,"US;IN;DE;GB;CA",image generation
chatgpt voice,ChatGPT,1900000,↑,↑,Informational,medium,0.38,"US;IN;GB;CA;DE",voice mode
chatgpt api,ChatGPT,3600000,↔,↔,Transactional,hard,1.20,"US;IN;DE;GB;CA",api
chatgpt store,ChatGPT,1300000,↓,↓,Informational,medium,0.25,"US;IN;GB;CA;DE",gpt store
chatgpt jailbreak,ChatGPT,900000,↔,↓,Informational,medium,0.10,"US;IN;PH;BR;GB",community
chatgpt not working,ChatGPT,1400000,↑,↔,Troubleshooting,easy,0.05,"US;IN;BR;PH;ID",errors
chatgpt alternatives,ChatGPT,2000000,↔,↔,Informational,medium,0.60,"US;GB;CA;DE;AU",comparisons
chatgpt vs gemini,ChatGPT,2600000,↑,↑,Informational,medium,0.55,"US;IN;GB;CA;DE",vs
chatgpt vs claude,ChatGPT,1600000,↑,↑,Informational,medium,0.55,"US;IN;GB;CA;DE",vs
chatgpt desktop app,ChatGPT,800000,↑,↑,Informational,medium,0.20,"US;GB;DE;CA;FR",app
chatgpt teams,ChatGPT,500000,↔,↔,Informational,medium,0.65,"US;GB;DE;CA;AU",enterprise
chatgpt download,ChatGPT,2800000,↑,↔,Navigational,hard,0.30,"US;IN;BR;ID;MX",download
chatgpt mac app,ChatGPT,450000,↑,↑,Informational,medium,0.25,"US;GB;DE;CA;AU",app/mac

